Station,Year,Month,Day,Latitude,Longitude,Mean Depth,Std. Dev. Depth,Mean Density,Std. Dev. Density
25,1983,10,31,86.011,-136.43,31.6,16.037,0.296,0.026077
25,1983,11,10,86.073,-135.71,32.34,16.172,0.31,0.012247
25,1983,11,20,86.173,-133.69,32.46,16.947,0.316,0.016733
25,1983,11,30,86.085,-133.86,33.96,15.918,0.318,0.0083666
25,1983,12,10,85.737,-133.06,33.28,16.947,0.318,0.022804
25,1983,12,20,85.7275,-128.82,35.24,16.429,0.318,0.016432
25,1983,12,30,85.736,-127.5333333,35.48,16.442,0.322,0.013038
25,1984,1,10,85.715,-127.19,38.76,17.508,0.328,0.0083666
25,1984,1,20,85.69275,-127.17,39.36,18.037,0.336,0.015166
25,1984,1,30,85.702,-126.655,40.48,18.159,0.34,0.01
25,1984,2,10,85.68,-126.74,40.52,17.829,0.338,0.021679
25,1984,2,20,85.604,-124.535,42.86,18.094,0.352,0.017889
25,1984,2,29,85.59625,-124.125,42.58,18.142,0.352,0.021679
25,1984,3,10,85.55425,-122.7225,44.28,18.308,0.35,0.015811
25,1984,3,20,85.587,-122.26,44.32,18.387,0.354,0.015166
26,1983,6,10,NaN,NaN,26.06,16.808,0.31,0.045277
26,1983,6,20,NaN,NaN,26.02,15.062,0.332,0.030332
26,1983,6,31,NaN,NaN,22.96,12.667,0.374,0.086487
26,1983,9,11,79.277,178.74,15.66,8.3973,0.266,0.029665
26,1983,9,20,79.135,176.56,17.98,9.518,0.246,0.018166
26,1983,9,30,79.18,176.99,17.1,8.2986,0.336,0.035071
26,1983,10,10,79.143,178.58,17.68,8.7445,0.336,0.032094
26,1983,10,20,79.07,177.18,17.86,8.0407,0.34,0.04
26,1983,10,31,79.025,174.42,18.06,8.1426,0.346,0.036469
26,1983,11,12,79.533,176.45,21.56,10.426,0.328,0.0044721
26,1983,11,20,79.447,175.89,22.56,10.541,0.32,0.01
26,1983,11,30,79.357,176.37,23,9.9837,0.328,0.010954
26,1983,12,10,79.907,178.78,22.94,9.2789,0.338,0.0083666
26,1983,12,21,80.457,178.26,24.9,9.4074,0.324,0.011402
26,1983,12,31,80.457,175.8,25.48,10.955,0.3,0.017321
26,1984,1,10,80.547,175.6,26.12,11.233,0.298,0.014832
26,1984,1,20,80.653,176.08,26.26,11.87,0.314,0.018166
26,1984,1,31,80.54,175.36,28.88,13.152,0.306,0.0054772
26,1984,2,13,79.958,172.45,37.7,16.746,0.31,0.054772
26,1984,2,23,79.842,174.19,37.6,14.326,0.332,0.017889
26,1984,2,29,79.735,172.54,37.82,14.767,0.326,0.0054772
26,1984,3,10,79.92,171.75,37.46,16.876,0.334,0.011402
26,1984,3,20,80.097,172.78,39.26,18.099,0.338,0.0083666
26,1984,3,31,80.225,172.43,41.54,15.681,0.342,0.014832
26,1985,1,20,NaN,NaN,NaN,NaN,0.342,0.016432
26,1985,2,20,NaN,NaN,NaN,NaN,0.342,0.017889
26,1985,8,21,NaN,NaN,11.54,3.4771,0.194,0.015166
26,1985,9,22,NaN,NaN,17.84,7.6701,0.29,0.033166
26,1985,10,20,NaN,NaN,25.92,12.432,0.324,0.016733
26,1985,11,20,NaN,NaN,24.24,12.992,0.34,0.012247
26,1985,12,20,NaN,NaN,25.42,12.816,0.34,0.022361
26,1985,12,30,NaN,NaN,26.2,12.477,0.342,0.016432
26,1986,2,20,NaN,NaN,29.86,13.299,0.342,0.017889
27,1984,9,20,NaN,NaN,7.66,4.8848,0.218,0.1467
27,1984,10,20,NaN,NaN,14.24,7.0727,0.228,0.021679
27,1984,11,20,NaN,NaN,17.84,10.72,0.212,0.0249
27,1984,12,20,NaN,NaN,18.88,12.165,0.208,0.027749
27,1985,4,20,NaN,NaN,32.73,9.7823,0.4,0.018257
27,1985,9,26,NaN,NaN,1.8,1.7581,0.31,0.040825
27,1985,10,24,NaN,NaN,8.67,2.8215,0.35,0.024037
27,1985,11,11,NaN,NaN,18.05,5.9261,0.371,0.024698
27,1985,12,31,NaN,NaN,26.42,7.905,0.396,0.021187
27,1986,1,31,NaN,NaN,27.4,8.229,0.356,0.025906
27,1986,2,24,NaN,NaN,28.35,10.119,0.356,0.025906
27,1986,3,28,NaN,NaN,28.94,10.415,0.371,0.028067
27,1986,4,28,NaN,NaN,29.578,10.446,0.368,0.019322
27,1986,6,17,NaN,NaN,31.067,18.352,0.362,0.045497
27,1986,6,27,NaN,NaN,20.622,14.266,0.376,0.075033
27,1986,9,7,NaN,NaN,NaN,NaN,0.218,0.028636
27,1986,9,19,NaN,NaN,13.489,6.2181,0.254,0.0089443
27,1986,9,27,NaN,NaN,16.667,6.7487,0.31,0.1179
27,1986,10,10,NaN,NaN,11.289,4.9846,0.252,0.081056
27,1986,10,19,NaN,NaN,13.333,6.3604,0.344,0.078294
27,1986,10,31,NaN,NaN,21.4,9.4974,0.234,0.04827
27,1986,11,6,NaN,NaN,19.2,9.5622,0.31,0.10296
27,1986,11,20,NaN,NaN,15.067,8.7084,0.324,0.10644
27,1986,11,30,NaN,NaN,17.6,11.539,0.24,0.079057
27,1986,12,10,NaN,NaN,14.311,9.1324,0.332,0.070498
27,1986,12,21,NaN,NaN,13.911,9.906,0.286,0.069857
27,1986,12,30,NaN,NaN,14.644,11.928,0.298,0.025884
27,1987,1,9,NaN,NaN,14.467,9.2628,0.362,0.070852
27,1987,1,20,NaN,NaN,14,11.455,0.296,0.030496
27,1987,1,29,NaN,NaN,15.6,10.885,0.29,0.036056
27,1987,2,9,NaN,NaN,14.8,9.3337,0.338,0.038987
27,1987,2,18,NaN,NaN,19.289,12.354,0.328,0.065727
27,1987,2,26,NaN,NaN,18.778,11.92,0.312,0.067602
27,1987,3,9,NaN,NaN,20.489,12.381,0.358,0.043243
27,1987,3,19,NaN,NaN,17.778,10.967,0.39,0.09975
27,1987,3,29,NaN,NaN,18.6,14.639,0.364,0.027019
27,1987,4,8,NaN,NaN,20.578,12.853,0.312,0.020494
27,1987,4,18,NaN,NaN,21.156,13.909,0.338,0.067602
27,1987,4,28,NaN,NaN,NaN,NaN,0.354,0.029665
27,1987,5,8,NaN,NaN,22.511,15.359,0.318,0.025884
28,1986,9,8,81.027,161.6,NaN,NaN,0.24,0.051962
28,1986,9,21,81.115,161.91,NaN,NaN,0.278,0.079498
28,1986,9,30,81.16,162.56,NaN,NaN,0.298,0.096799
28,1986,10,5,81.3,167.11,NaN,NaN,0.266,0.060249
28,1986,10,19,80.882,167.35,NaN,NaN,0.272,0.069785
28,1986,10,27,80.945,168.18,NaN,NaN,0.28,0.059582
28,1986,11,11,81.708,167.45,NaN,NaN,0.282,0.045497
28,1986,11,21,81.932,167.55,NaN,NaN,0.286,0.047223
28,1986,11,30,82.078,168.33,NaN,NaN,0.282,0.049193
28,1986,12,10,82.528,166.66,NaN,NaN,0.292,0.058052
28,1986,12,21,81.748,167.48,NaN,NaN,0.296,0.011402
28,1986,12,31,81.34433333,169.5133333,NaN,NaN,0.3,0.014142
28,1987,1,9,80.953,170.53,NaN,NaN,0.308,0.025884
28,1987,1,20,80.818,169.43,NaN,NaN,0.318,0.016432
28,1987,1,30,80.895,167.96,NaN,NaN,0.32,0.0070711
28,1987,2,8,80.87,168.14,NaN,NaN,0.328,0.0083666
28,1987,2,19,80.865,169.48,NaN,NaN,0.332,0.0083666
28,1987,2,27,81.1225,167.3,NaN,NaN,0.33,0.01
28,1987,3,6,81.387,167.34,NaN,NaN,0.328,0.023875
28,1987,3,15,81.675,169.2,NaN,NaN,0.318,0.025884
28,1987,3,22,81.847,169.27,NaN,NaN,0.312,0.039623
28,1987,4,8,82.41,168.35,NaN,NaN,0.31,0.015811
28,1987,4,18,81.978,168.47,NaN,NaN,0.318,0.034928
28,1987,4,28,81.812,168.96,NaN,NaN,0.312,0.042661
28,1987,5,8,82.238,167.38,NaN,NaN,0.352,0.057184
28,1987,5,18,82.312,167.6,NaN,NaN,0.396,0.065038
28,1987,5,28,82.425,166.54,NaN,NaN,0.408,0.032711
28,1987,6,10,83.14,164.02,NaN,NaN,0.432,0.043243
28,1987,6,18,83.417,163.25,NaN,NaN,0.57,0.035355
28,1987,6,28,83.797,160.96,NaN,NaN,0.668,0.049699
28,1987,10,21,85.462,166.71,NaN,NaN,0.262,0.033466
28,1987,11,8,86.083,162.25,NaN,NaN,0.25,0.04062
28,1987,11,18,86.045,167.9,NaN,NaN,0.248,0.034205
28,1987,11,28,86.272,171.19,NaN,NaN,0.268,0.062209
28,1987,12,8,86.615,165.6,NaN,NaN,0.262,0.023875
28,1987,12,18,86.708,169.51,NaN,NaN,0.26,0.038079
28,1987,12,28,86.472,172.75,NaN,NaN,0.27,0.031623
28,1988,1,8,86.668,173.84,NaN,NaN,0.272,0.025884
28,1988,1,18,87.105,176.61,NaN,NaN,0.286,0.039749
28,1988,1,28,87.38,-179.97,NaN,NaN,0.278,0.014832
28,1988,2,8,87.8,-177.68,NaN,NaN,0.29,0.025495
28,1988,2,18,87.642,-173.66,NaN,NaN,0.3,0.015811
28,1988,2,28,87.853,-172.97,NaN,NaN,0.292,0.031145
28,1988,3,8,88.155,-176.23,NaN,NaN,0.284,0.065803
28,1988,3,18,88.238,-171.28,NaN,NaN,0.35,0.023452
28,1988,3,28,88.515,-178.98,NaN,NaN,0.34,0.015811
29,1988,6,10,NaN,NaN,29.79,13.641,0.316,0.039497
30,1987,11,10,74.936,-175.57,16.76,9.9027,0.258,0.023476
30,1987,11,20,74.777,-178.73,18.66,9.8512,0.327,0.036833
30,1987,11,30,74.56,-177.02,17.62,8.8753,0.295,0.019579
30,1987,12,12,74.39,-178.59,19.36,10.317,0.278,0.018738
30,1987,12,20,74.402,178.85,19.12,9.0793,0.291,0.032813
30,1988,1,10,74.283,176.44,28.24,13.086,0.286,0.030623
30,1988,1,31,74.868,174.28,24.46,12.078,0.345,0.041966
30,1988,2,10,75.323,172.695,23.12,9.544,0.304,0.038064
30,1988,2,20,75.162,173.01,22.88,10.743,0.316,0.040607
30,1988,2,25,75.1135,172.995,24.2,9.9918,0.297,0.022136
30,1988,3,9,75.435,173.14,23.26,8.6185,0.327,0.052292
30,1988,3,19,75.562,172.96,26.54,11.925,0.346,0.063631
30,1988,3,30,75.552,174.13,26.88,9.9727,0.328,0.0607
30,1988,4,9,75.825,174.33,24.7,8.1497,0.334,0.051034
30,1988,4,21,75.953,172.34,27.72,8.8825,0.358,0.039665
30,1988,4,29,76.342,171.29,27.36,11,0.375,0.061509
30,1988,5,10,76.327,169.23,26.18,10.707,0.371,0.044585
30,1988,5,20,76.426,166.285,32.84,12.484,0.34,0.030551
30,1988,5,31,76.593,163.69,34.42,11.925,0.351,0.030714
30,1988,6,10,76.642,162.21,19.52,9.7693,0.361,0.024698
30,1988,6,20,76.757,161.6,15.02,7.471,0.361,0.026854
30,1988,6,30,76.37,162.05,9.66,6.2747,0.371,0.02331
30,1988,8,20,75.91,160.68,7.9,4.958,0.25,0.018856
30,1988,8,30,75.81,160.75,8.64,5.074,0.243,0.023118
30,1988,9,10,75.777,163.69,17.16,10.104,0.223,0.021108
30,1988,9,20,75.523,165.17,18.24,9.595,0.237,0.024967
30,1988,9,30,75.542,166.35,16.22,10.397,0.324,0.029889
30,1988,10,10,75.375,167.93,17.56,8.7951,0.344,0.017127
30,1988,10,20,75.988,167.18,21.88,11.273,0.235,0.018409
30,1988,10,31,76.368,167.92,22.7,13.359,0.296,0.011738
30,1988,11,10,76.688,167.13,22.5,11.937,0.287,0.016364
30,1988,11,21,77.22,165.59,NaN,NaN,0.295,0.019579
30,1988,11,30,77.242,165.85,22.04,10.734,0.305,0.020138
30,1988,12,10,77.263,167.45,23.34,11.712,0.348,0.013166
30,1988,12,20,77.222,170.21,19.52,12.44,0.307,0.020028
30,1988,12,31,77.32,170.23,20.16,11.122,0.302,0.019889
30,1989,1,10,77.607,167.93,20.48,10.525,0.307,0.016364
30,1989,1,20,77.635,169.8,22.02,11.367,0.302,0.016193
30,1989,1,31,77.538,171.48,22.8,11.863,0.316,0.018974
30,1989,2,10,77.683,171.56,22.24,12.631,0.32,0.018856
30,1989,2,20,77.86,169.48,24.2,11.81,0.311,0.016633
30,1989,2,28,78.167,171.11,24.1,11.824,0.315,0.016499
30,1989,3,10,78.533,173.22,24.92,11.961,0.322,0.018738
30,1989,3,20,78.55,173.38,24.82,11.833,0.328,0.014757
30,1989,3,31,78.967,172.7,25.6,11.279,0.339,0.015239
30,1989,4,10,79.233,173.75,26.06,11.377,0.336,0.0084327
30,1989,4,20,79.5,171.33,26.7,10.483,0.334,0.011738
30,1989,4,30,79.15,171.85,26.94,10.11,0.333,0.012517
30,1989,5,10,79.017,172.63,28.1,9.7463,0.344,0.018379
30,1989,9,10,82.5,-170.45,7.08,3.5848,0.1,0.01291
30,1989,9,20,82.15,-170.42,10.82,6.6783,0.14,0.018856
30,1989,9,30,82.25,-165.07,19.34,10.141,0.206,0.01075
30,1989,10,10,82.9,-166.8,20.18,9.1622,0.25,0.041096
30,1989,10,20,82.883,-168.85,22.58,9.8852,0.24,0.039158
30,1989,10,31,82.883,-163.87,21.92,10.806,0.273,0.064472
30,1989,11,10,82.817,-161.33,25.04,11.937,0.302,0.031198
30,1989,11,20,83.017,-161.07,26.84,12.28,0.289,0.042282
30,1989,11,30,82.967,-158.02,25.58,12.673,0.303,0.021108
30,1989,12,10,83.283,-156.18,26.3,12.654,0.302,0.018738
30,1989,12,21,83.45,-155.02,27.04,13.04,0.301,0.021833
30,1989,12,31,83.183,-153.28,27.98,13.573,0.307,0.026268
30,1990,1,10,82.667,-152.22,31.56,14.024,0.303,0.038312
30,1990,1,20,82.683,-150.93,29.94,15.821,0.332,0.028206
30,1990,1,31,82.183,-151.68,29.94,13.764,0.314,0.031693
30,1990,2,10,82.05,-150.8,29.26,14.074,0.319,0.059712
30,1990,2,20,82.033,-150.77,30.22,14.299,0.325,0.042753
30,1990,2,28,82.05,-150.68,29.74,14.001,0.303,0.03199
30,1990,3,10,82.2,-150.42,31.4,14.244,0.324,0.038064
30,1990,3,20,82.317,-150.08,30.34,14.214,0.323,0.016364
30,1990,3,31,82.283,-149,32.1,15.976,0.333,0.03093
30,1990,5,10,83.2,-140.13,32.98,16.041,0.304,0.016465
30,1990,6,10,83.783,-134.05,34.96,14.792,0.302,0.020976
30,1990,9,20,83.718,-128.2,14.5,5.9565,0.227,0.023594
30,1990,10,11,83.827,-126.22,19.6,7.0392,0.234,0.017127
30,1990,10,21,85.298,-124.21,20.2,8.1741,0.245,0.018409
30,1990,10,30,85.517,-122.95,22,10.035,0.261,0.017288
30,1990,11,10,84.282,-121.83,21.42,9.381,0.255,0.023214
30,1990,11,20,85.29,-122.715,21.48,9.5238,0.268,0.027406
30,1990,11,30,83.988,-122.61,21.64,10.159,0.267,0.021628
30,1990,12,10,83.71,-123.8,22.3,9.9412,0.33,0.070711
30,1990,12,20,83.875,-122.66,21.18,9.8077,0.342,0.050067
30,1990,12,30,83.678,-123.29,25.34,10.638,0.327,0.057937
30,1991,1,10,84.517,-124.56,NaN,NaN,0.271,0.046056
30,1991,1,20,83.632,-124.72,25.88,10.48,0.267,0.0462
30,1991,1,31,83.245,-124.44,28.74,10.949,0.231,0.036347
30,1991,2,10,83.305,-122.62,25.06,10.483,0.248,0.039665
30,1991,2,21,82.5865,-126.345,26.28,10.755,0.272,0.024855
30,1991,2,28,82.542,-125.83,28.08,11.53,0.25,0.046428
30,1991,3,10,NaN,NaN,29.44,11.368,0.289,0.031429
31,1988,12,10,NaN,NaN,27.3,11.96,0.306,0.050596
31,1988,12,20,NaN,NaN,26.12,11.515,0.299,0.039567
31,1988,12,30,NaN,NaN,28.18,10.858,0.302,0.019889
31,1989,1,10,77.183,-156.85,31.1,12.582,0.329,0.025582
31,1989,1,20,77.117,-155.32,NaN,NaN,0.337,0.026687
31,1989,1,31,77.067,-154.2,31,11.384,0.344,0.044522
31,1989,2,10,77.317,-152.87,37.06,13.275,0.329,0.021318
31,1989,2,21,77.8,-153.13,39.2,12.41,0.323,0.021108
31,1989,2,28,77.7,-151.75,37.52,11.647,0.329,0.01792
31,1989,3,10,77.883,-150.7,42.28,13.127,0.328,0.018738
31,1989,3,20,77.7,-150.58,40.68,12.893,0.325,0.01354
31,1989,3,30,77.933,-150.75,40.78,12.046,0.331,0.01912
31,1989,4,10,78,-150.43,40.56,11.283,0.328,0.019889
31,1989,4,20,78.25,-151.45,40.48,10.871,0.33,0.011547
31,1989,4,30,78.15,-152.02,40.94,11.14,0.329,0.018529
31,1989,5,10,77.9,-150.68,48.28,12.773,0.329,0.029609
31,1989,5,20,77.867,-151.68,43.98,10.328,0.344,0.015055
31,1989,5,31,78.383,-150.52,43.48,12.219,0.347,0.014181
31,1989,6,10,78.533,-148.78,36.26,10.204,0.376,0.02319
31,1989,6,20,78.433,-147.3,29.2,9.9816,0.41,0.029814
31,1989,9,20,78.433,-140.78,10.5,6.2507,0.268,0.030111
31,1989,9,30,78.2,-139,11.14,6.0778,0.274,0.02319
31,1989,10,10,78.683,-139.93,17.02,5.8988,0.279,0.011972
31,1989,10,20,78.9,-138.98,22.76,7.9708,0.285,0.0052705
31,1989,10,31,78.467,-136.65,24.86,9.8644,0.29,0.015635
31,1989,11,10,78.4,-136.05,18.66,5.4869,0.288,0.011353
31,1989,11,20,78,-137.08,19.14,5.3605,0.291,0.0056765
31,1989,11,30,77.683,-136.25,22.26,6.1339,0.293,0.0048305
31,1989,12,10,77.7,-135.97,19.34,7.8782,0.298,0.013984
31,1989,12,20,77.483,-136.28,20.24,9.578,0.30222,0.0097183
31,1989,12,31,77.233,-135.35,20.12,8.0828,0.30111,0.0078174
31,1990,1,10,76.517,-135.47,23.38,10.256,0.3,0.014142
31,1990,1,20,76.517,-135.47,23.6,10.945,0.296,0.013499
31,1990,1,31,76.333,-135.55,23.06,9.8859,0.297,0.018886
31,1990,2,10,76.3,-135.22,24.5,8.1096,0.308,0.0091894
31,1990,2,20,76.3,-135.22,27.2,11.23,0.307,0.013375
31,1990,2,28,76.3,-135.23,27.8,8.6567,0.309,0.011972
31,1990,3,10,76.317,-135.08,25.74,8.9939,0.304,0.0084327
31,1990,3,20,76.367,-135.03,27.08,12.923,0.302,0.016193
31,1990,3,31,76.317,-134.93,26.7,9.0356,0.305,0.017795
31,1990,4,10,76.233,-134.5,30.9,13.444,0.259,0.068548
31,1990,4,30,76.277,-133.98,25.84,13.666,0.327,0.0643
31,1990,5,10,76.308,-133.89,26.44,13.601,0.342,0.059217
31,1990,5,21,76.407,-133.88,28.54,12.935,0.342,0.07208
31,1990,5,31,76.377,-134.5,26.92,12.652,0.312,0.031552
31,1990,6,10,76.017,-133.78,26.46,12.435,0.312,0.050947
31,1990,9,30,72.83,-135.77,9.94,8.2324,0.302,0.055936
31,1990,10,10,72.808,-137.16,13.04,7.3038,0.236,0.028363
31,1990,10,21,73.212,-138.46,12.5,6.491,0.216,0.043767
31,1990,10,31,73.097,-140.98,14.7,9.0017,0.225,0.046007
31,1990,11,11,72.958,-140.38,13.22,7.1921,0.224,0.022211
31,1990,11,21,72.968,-141.44,18.3,11.165,0.243,0.027909
31,1990,11,30,72.98,-143.04,15.04,8.8224,0.226,0.020111
31,1990,12,10,72.823,-144.06,17.02,9.8115,0.23,0.033665
31,1990,12,20,73.19,-146.28,20,10.65,0.233,0.046916
31,1990,12,30,72.698,-145.16,18.18,10.016,0.265,0.066117
31,1991,1,10,72.453,-144.91,21.02,10.594,0.231,0.02846
31,1991,1,20,72.42,-145.1,25.6,13.683,0.238,0.030111
31,1991,1,31,72.21,-144.29,23.46,12.914,0.297,0.055787
31,1991,2,9,72.175,-144.26,29.8,12.819,0.323,0.031287
31,1991,2,20,72.183,-146.88,33.04,15.114,0.328,0.031198
31,1991,2,28,72.188,-147.11,36.12,13.257,0.341,0.029231
31,1991,3,10,72.193,-148.57,36.18,14.328,0.346,0.029136
31,1991,3,20,72.12,-148.97,39.5,16.463,0.348,0.026583
31,1991,3,31,72.102,-148.79,38.5,16.568,0.345,0.032745
